,time,S_C,I_C,S_N,I_N
298,445.5,59.57526939,1.450099301,661.3193533,27.65527798
299,447,59.54759689,1.456731691,661.2168187,27.77885268
300,448.5,59.52011544,1.463386571,661.1135447,27.90295333
301,450,59.4928254,1.470064077,661.0095288,28.02758176
302,451.5,59.46572712,1.476764348,660.9047687,28.1527398
303,453,59.43882095,1.48348752,660.7992622,28.2784293
304,454.5,59.41210726,1.490233731,660.6930069,28.4046521
305,456,59.38558639,1.49700312,660.5860004,28.53141005
306,457.5,59.3592587,1.503795825,660.4782405,28.658705
307,459,59.33312456,1.510611987,660.3697247,28.78653879
308,460.5,59.30718431,1.517451746,660.2604506,28.9149133
309,462,59.28143832,1.524315243,660.1504161,29.04383037
310,463.5,59.25588696,1.531202619,660.0396185,29.17329188
311,465,59.23053056,1.538114017,659.9280557,29.30329968
312,466.5,59.20536951,1.545049579,659.8157253,29.43385564
313,468,59.18040416,1.55200945,659.7026247,29.56496165
314,469.5,59.15563487,1.558993772,659.5887518,29.69661956
315,471,59.131062,1.566002691,659.474104,29.82883127
316,472.5,59.10668592,1.573036351,659.3586791,29.96159865
317,474,59.082507,1.5800949,659.2424745,30.09492358
318,475.5,59.05852558,1.587178483,659.125488,30.22880795
319,477,59.03474205,1.594287249,659.007717,30.36325366
320,478.5,59.01115676,1.601421343,658.8891593,30.49826259
321,480,58.98777009,1.608580916,658.7698124,30.63383664
322,481.5,58.96458239,1.615766117,658.6496738,30.7699777
323,483,58.94159403,1.622977095,658.5287412,30.90668768
324,484.5,58.91880539,1.630214001,658.4070121,31.04396847
325,486,58.89621683,1.637476986,658.2844842,31.18182199
326,487.5,58.87382871,1.644766203,658.1611549,31.32025015
327,489,58.85164141,1.652081803,658.0370219,31.45925484
328,490.5,58.8296553,1.65942394,657.9120828,31.59883799
329,492,58.80787074,1.666792768,657.786335,31.73900152
330,493.5,58.7862881,1.674188442,657.6597761,31.87974733
331,495,58.76490777,1.681611117,657.5324038,32.02107735
332,496.5,58.7437301,1.689060949,657.4042154,32.16299351
333,498,58.72275546,1.696538095,657.2752087,32.30549772
334,499.5,58.70198424,1.704042713,657.1453811,32.44859191
